Tópico,Subtópico,Perfil,Criticidade,Resumo,Description,Auditoria - Descrição,Auditoria – REGEX
26,Filesystem,Full,Média,Particao dedicada para dev shm,Usar particao dedicada para dev shm,Checa montagem propria para dev shm,"(findmnt -kn /dev/shm >/dev/null && echo ""PASS"" || echo ""FAIL"")"
27,Filesystem,Full,Alta,Particao dedicada para var,Usar particao dedicada para var,Verifica montagem independente para var,"(findmnt -kn /var >/dev/null && echo ""PASS"" || echo ""FAIL"")"
28,Filesystem,Full,Alta,Particao dedicada para var tmp,Usar particao dedicada para var tmp,Checa se var tmp possui montagem propria,"(findmnt -kn /var/tmp >/dev/null && echo ""PASS"" || echo ""FAIL"")"
29,Filesystem,Full,Alta,Particao dedicada para var log,Usar particao dedicada para var log,Confere montagem especifica para var log,"(findmnt -kn /var/log >/dev/null && echo ""PASS"" || echo ""FAIL"")"
30,Filesystem,Full,Média,Particao dedicada para var log audit,Usar particao dedicada para var log audit,Verifica se var log audit tem montagem independente,"(findmnt -kn /var/log/audit >/dev/null && echo ""PASS"" || echo ""FAIL"")"
31,Filesystem,Full,Alta,Particao dedicada para home,Usar particao dedicada para home,Checa montagem independente para home,"(findmnt -kn /home >/dev/null && echo ""PASS"" || echo ""FAIL"")"
32,Filesystem,Full,Alta,Particao dedicada para historico,Usar particao dedicada para historico,Verifica se existe montagem especifica para historico,"(findmnt -kn /historico >/dev/null && echo ""PASS"" || echo ""FAIL"")"
33,Filesystem,Full,Alta,Particao dedicada para crash,Usar particao dedicada para crash,Confere montagem dedicada para crash,"(findmnt -kn /crash >/dev/null && echo ""PASS"" || echo ""FAIL"")"
34,Filesystem,Full,Média,Particao dedicada para UNIX,Usar particao dedicada para UNIX,Verifica se ha montagem propria para UNIX,"(findmnt -kn /UNIX >/dev/null && echo ""PASS"" || echo ""FAIL"")"
35,Filesystem,Light,Baixa,Nodev removíveis,Ajustar opções nodev nosuid noexec para mídias removíveis no fstab.,Verificar opções de montagem para mídias removíveis,"(grep -E 'nodev|nosuid|noexec' /etc/fstab | grep -E '/media|/run/media' >/dev/null && echo ""PASS"" || echo ""FAIL"")"
36,Filesystem,Light,Baixa,Nodev partições críticas,Ajustar opções nodev nosuid para partições críticas.,Verificar opções de montagem críticas,"(grep -E 'nodev|nosuid|noexec' /etc/fstab >/dev/null && echo ""PASS"" || echo ""FAIL"")"
37,Filesystem,Full,Alta,Opcoes de montagem seguras em tmp,Aplicar opcoes seguras em tmp,Checa se tmp possui opcoes nodev nosuid e noexec,"(findmnt -n /tmp | grep -Eq 'nodev|nosuid|noexec' && echo ""PASS"" || echo ""FAIL"")"
38,Filesystem,Full,Alta,Opcoes de montagem seguras em dev shm,Aplicar opcoes seguras em dev shm,Verifica nodev nosuid noexec na montagem de dev shm,"(findmnt -n /dev/shm | grep -Eq 'nodev|nosuid|noexec' && echo ""PASS"" || echo ""FAIL"")"
39,Filesystem,Full,Média,Opcoes de montagem seguras em var tmp,Aplicar opcoes seguras em var tmp,Checa opcoes nodev nosuid ou noexec em var tmp,"(findmnt -n /var/tmp | grep -Eq 'nodev|nosuid|noexec' && echo ""PASS"" || echo ""FAIL"")"
40,Filesystem,Light,Alta,Segurança /var/log,Configurar /var/log com nodev nosuid.,Verificar opções de montagem de /var/log,"(findmnt -n /var/log | grep -Eq 'nodev|nosuid|noexec' && echo ""PASS"" || echo ""FAIL"")"
41,Filesystem,Light,Alta,Segurança audit log,Configurar /var/log/audit com nodev nosuid.,Verificar opções de montagem de /var/log/audit,"(findmnt -n /var/log/audit | grep -Eq 'nodev|nosuid|noexec' && echo ""PASS"" || echo ""FAIL"")"
42,Filesystem,Light,Alta,Segurança /home,Configurar /home com nodev quando aplicável.,Verificar opções de montagem de /home,"(findmnt -n /home | grep -qw nodev && echo ""PASS"" || echo ""FAIL"")"
43,Filesystem,Full,Média,Opcoes de montagem seguras em midias removiveis,Aplicar opcoes seguras em midias removiveis,Verifica se midias removiveis estao definidas com opcoes seguras em fstab,"(grep -E 'nodev|nosuid|noexec' /etc/fstab | grep -E '/media|/run/media' >/dev/null && echo ""PASS"" || echo ""FAIL"")"
44,Filesystem,Light,Alta,Sticky world-writable,Aplicar sticky bit em diretórios world writable locais.,Verificar sticky bit em diretórios world writable,"(find / -xdev -type d -perm -0002 ! -perm -1000 2>/dev/null | grep . && echo ""FAIL"" || echo ""PASS"")"
45,Filesystem,Light,Baixa,Sticky /tmp,Aplicar sticky bit em /tmp.,Verificar sticky bit em /tmp,"(stat -c ""%A"" /tmp | grep -q 't' && echo ""PASS"" || echo ""FAIL"")"
46,Filesystem,Light,Média,Sticky /var/tmp,Aplicar sticky bit em /var/tmp.,Verificar sticky bit em /var/tmp,"(stat -c ""%A"" /var/tmp | grep -q 't' && echo ""PASS"" || echo ""FAIL"")"
47,Filesystem,Light,Alta,Sticky /dev/shm,Aplicar sticky bit em /dev/shm quando aplicável.,Verificar sticky bit em /dev/shm,"(stat -c ""%A"" /dev/shm | grep -q 't' && echo ""PASS"" || echo ""FAIL"")"
48,Seguranca de Boot,Full,Baixa,Autofs desabilitado em servidores,Desabilitar autofs em servidores,Verifica se o servico autofs esta desabilitado,"(systemctl is-enabled autofs &>/dev/null && echo ""FAIL"" || echo ""PASS"")"
49,Seguranca de Boot,Full,Alta,Senha de bootloader configurada,Configurar senha de bootloader,Verifica presenca de senha hash em grub cfg,"if [ -n ""$GRUBCFG"" ]; then
  (grep -q 'password_pbkdf2' ""$GRUBCFG"" 2>/dev/null && echo ""PASS"" || echo ""FAIL"")
else
  echo ""FAIL""
fi"
50,Seguranca de Boot,Full,Média,Permissoes seguras no arquivo do bootloader,Configurar permissoes seguras no arquivo do bootloader,Verifica permissoes de leitura e propriedade do grub cfg,"if [ -n ""$GRUBCFG"" ]; then
  (stat -Lc '%a %U %G' ""$GRUBCFG"" 2>/dev/null | grep -Eq '^(400|600) root root$' && echo ""PASS"" || echo ""FAIL"")
else
  echo ""FAIL""
fi"
51,Seguranca de Boot,Full,Média,Single user mode com autenticacao,Exigir autenticacao no modo single user,Confere configuracao de autenticacao no systemd e emergency service,"(grep -q '^ExecStart=-/bin/sh' /usr/lib/systemd/system/emergency.service && echo ""FAIL"" || echo ""PASS"")

#echo -e ""\n[55] Sem serviços sem restrições MAC (Manual)""
#(ps -eZ | grep -q 'unconfined_t' && echo ""FAIL"" || echo ""PASS"")"
56,Sistema,Light,Alta,Prelink removido,Remover prelink quando presente.,Verificar se prelink está instalado,"(pkg_installed prelink && echo ""FAIL"" || echo ""PASS"")"
57,Sistema,Light,Baixa,xinetd removido,Desabilitar ou remover xinetd quando não requerido.,Verificar presença de xinetd,"(pkg_installed xinetd && echo ""FAIL"" || echo ""PASS"")"
58,Sistema,Light,Alta,Time sync ativo,Habilitar serviço de sincronização de tempo aprovado.,Verificar serviço de tempo ativo,"( systemctl is-active --quiet chronyd &>/dev/null || systemctl is-active --quiet ntpd &>/dev/null || systemctl is-active --quiet systemd-timesyncd &>/dev/null ) && echo ""PASS"" || echo ""FAIL"""
59,Sistema,Light,Baixa,Fontes NTP confiáveis,Configurar fontes de tempo confiáveis.,Verificar servidores configurados,"( ! pkg_installed chrony || ( service_enabled chronyd && grep -q '^server' /etc/chrony.conf 2>/dev/null ) ) && echo ""PASS"" || echo ""FAIL"""
60,Sistema,Light,Baixa,NTP no boot,Habilitar sincronização automática no boot.,Verificar sincronização automática,"( ! pkg_installed ntp || ( service_enabled ntpd && grep -q '^server' /etc/ntp.conf 2>/dev/null ) ) && echo ""PASS"" || echo ""FAIL"""
61,Sistema,Light,Alta,X11 removido,Remover componentes X11 quando não necessários.,Verificar presença de pacotes X11,"(pkg_any_installed xserver-xorg-core xorg xserver-common gdm3 lightdm ubuntu-desktop kubuntu-desktop xubuntu-desktop && echo ""FAIL"" || echo ""PASS"")"
62,Sistema,Light,Alta,Avahi desabilitado,Desabilitar avahi quando não requerido.,Verificar status do avahi,"(pkg_installed avahi-daemon && echo ""FAIL"" || echo ""PASS"")"
63,Sistema,Light,Baixa,CUPS desabilitado,Desabilitar CUPS quando não requerido.,Verificar status do CUPS,"(pkg_installed cups && echo ""FAIL"" || echo ""PASS"")"
64,Sistema,Full,Alta,DHCP server ausente,Remover servidor DHCP,Checa se pacote dhcp server esta instalado,"(pkg_any_installed isc-dhcp-server kea-dhcp4-server && echo ""FAIL"" || echo ""PASS"")"
65,Sistema,Full,Alta,LDAP server ausente,Remover servidor LDAP,Verifica se openldap servers esta instalado,"(pkg_installed slapd && echo ""FAIL"" || echo ""PASS"")"
66,Sistema,Full,Alta,DNS server ausente,Remover servidor DNS,Checa se pacote bind esta instalado,"(pkg_installed bind9 && echo ""FAIL"" || echo ""PASS"")"
67,Sistema,Full,Alta,FTP server ausente,Remover servidor FTP,Confere presenca do pacote vsftpd,"(pkg_installed vsftpd && echo ""FAIL"" || echo ""PASS"")"
68,Sistema,Full,Média,HTTP server ausente,Remover servidor HTTP nao essencial,Verifica se httpd esta instalado,"(pkg_any_installed apache2 nginx lighttpd && echo ""FAIL"" || echo ""PASS"")"
69,Sistema,Light,Alta,IMAP/POP removidos,Remover serviços IMAP/POP3 quando não aplicáveis.,Verificar presença de serviços IMAP POP3,"(pkg_any_installed dovecot-imapd dovecot-pop3d && echo ""FAIL"" || echo ""PASS"")"
70,Sistema,Light,Baixa,Samba removido,Remover Samba quando não aplicável.,Verificar presença de Samba,"(pkg_installed samba && echo ""FAIL"" || echo ""PASS"")"
71,Sistema,Light,Alta,Proxy removido,Remover proxy HTTP quando não aplicável.,Verificar presença de proxy HTTP,"(pkg_installed squid && echo ""FAIL"" || echo ""PASS"")"
72,Sistema,Light,Baixa,SNMP desabilitado,Desabilitar SNMP quando não requerido.,Verificar status do SNMP,"(pkg_installed snmpd && echo ""FAIL"" || echo ""PASS"")"
73,Sistema,Light,Baixa,NIS removido,Remover servidor NIS quando não aplicável.,Verificar presença de NIS,"(pkg_installed nis && echo ""FAIL"" || echo ""PASS"")"
74,Sistema,Light,Alta,Telnet removido,Remover servidor Telnet.,Verificar presença de telnetd,"(pkg_any_installed telnetd inetutils-telnetd && echo ""FAIL"" || echo ""PASS"")"
75,Sistema,Light,Baixa,MTA local-only,Configurar MTA para modo local only quando aplicável.,Verificar configuração do MTA,"( [ ! -f /etc/postfix/main.cf ] || grep -Eq '^[[:space:]]*inet_interfaces[[:space:]]*=[[:space:]]*(localhost|loopback-only)\b' /etc/postfix/main.cf 2>/dev/null ) && echo ""PASS"" || echo ""FAIL"""
76,Sistema,Light,Alta,NFS desabilitado,Desabilitar NFS server quando não aplicável.,Verificar presença de NFS server,"(systemctl is-enabled nfs-server &>/dev/null && echo ""FAIL"" || echo ""PASS"")"
77,Sistema,Light,Média,rpcbind desabilitado,Desabilitar rpcbind quando não requerido.,Verificar status do rpcbind,"(systemctl is-enabled rpcbind &>/dev/null && echo ""FAIL"" || echo ""PASS"")"
78,Sistema,Light,Alta,rsync desabilitado,Desabilitar rsync daemon quando não requerido.,Verificar presença do rsync daemon,"(systemctl is-enabled rsyncd &>/dev/null && echo ""FAIL"" || echo ""PASS"")"
79,Sistema,Light,Alta,Cliente NIS removido,Remover cliente NIS.,Verificar presença do cliente NIS,"(pkg_installed nis && echo ""FAIL"" || echo ""PASS"")"
80,Sistema,Light,Baixa,Cliente rsh removido,Remover cliente rsh.,Verificar presença de rsh,"(pkg_any_installed rsh-client rsh-redone-client && echo ""FAIL"" || echo ""PASS"")"
81,Sistema,Light,Alta,Cliente talk removido,Remover cliente talk.,Verificar presença de talk,"(pkg_installed talk && echo ""FAIL"" || echo ""PASS"")"
82,Sistema,Light,Alta,Cliente telnet removido,Remover cliente telnet.,Verificar presença de cliente telnet,"(pkg_any_installed telnet inetutils-telnet && echo ""FAIL"" || echo ""PASS"")"
83,Sistema,Light,Baixa,Cliente LDAP removido,Remover cliente LDAP quando não requerido.,Verificar presença de cliente LDAP,"(pkg_installed ldap-utils && echo ""FAIL"" || echo ""PASS"")"
84,Sistema,Light,Média,Serviços supérfluos,Remover ou mascarar serviços não essenciais.,Verificar serviços ativos não autorizados,"(systemctl list-unit-files --state=enabled 2>/dev/null | grep -Eq '^(avahi-daemon|cups|vsftpd|xinetd|tftpd-hpa|nis|rpcbind|slapd)\.service' && echo ""FAIL"" || echo ""PASS"")"
85,Sistema,Light,Média,TFTP removido,Remover servidor TFTP.,Verificar presença de TFTP,"(pkg_any_installed tftpd-hpa atftpd && echo ""FAIL"" || echo ""PASS"")"
86,Sistema,Light,Alta,Polkit seguro,Configurar polkit conforme baseline aprovado.,Verificar regras do polkit,"( grep -Ehv '^[[:space:]]*(//|#)' /etc/polkit-1/rules.d/*.rules 2>/dev/null | grep -Eq 'polkit\.Result\.YES|[^[:alnum:]_]allow[^[:alnum:]_]' ) && echo ""FAIL"" || echo ""PASS"""
87,Sistema,Light,Baixa,gpgcheck ativo,Habilitar gpgcheck em todos os repositórios.,Verificar configuração de repositórios,"(find /etc/apt/sources.list /etc/apt/sources.list.d -type f -print0 2>/dev/null | xargs -0r grep -Ehv '^[[:space:]]*#' 2>/dev/null | grep -Eq '^[[:space:]]*deb[[:space:]]' && ! apt-config dump 2>/dev/null | grep -Eq 'Acquire::AllowInsecureRepositories ""true""|APT::Get::AllowUnauthenticated ""true""' && echo ""PASS"" || echo ""FAIL"")"
88,Sistema,Light,Alta,Patches aplicados,Aplicar atualizações de segurança pendentes.,Verificar atualizações pendentes,"(apt list --upgradable 2>/dev/null | grep -Eiq 'security|ubuntu[[:alnum:].-]+-security|debian-security' && echo ""FAIL"" || echo ""PASS"")"
89,Sistema,Light,Alta,Time sync único,Manter apenas um mecanismo de sincronização ativo.,Verificar serviços de tempo ativos,"( ( systemctl is-active --quiet chronyd &>/dev/null && ! systemctl is-active --quiet ntpd &>/dev/null && ! systemctl is-active --quiet systemd-timesyncd &>/dev/null ) || ( ! systemctl is-active --quiet chronyd &>/dev/null && systemctl is-active --quiet ntpd &>/dev/null && ! systemctl is-active --quiet systemd-timesyncd &>/dev/null ) || ( ! systemctl is-active --quiet chronyd &>/dev/null && ! systemctl is-active --quiet ntpd &>/dev/null && systemctl is-active --quiet systemd-timesyncd &>/dev/null ) ) && echo ""PASS"" || echo ""FAIL"""
90,Sistema,Light,Alta,Cron/at restritos,Restringir cron e at a usuários autorizados.,Verificar listas de controle de cron e at,"(stat -Lc '%a %U %G' /etc/cron.allow 2>/dev/null | grep -Eq '^640 root (root|crontab)$' && echo ""PASS"" || echo ""FAIL"")"
91,Rede,Full,Alta,IP forwarding desabilitado,Desabilitar IP forwarding em hosts nao roteadores,Confere sysctl de net ipv4 ip forward e net ipv6 conf all forwarding iguais a zero,"(sysctl -n net.ipv4.ip_forward 2>/dev/null | grep -q '^0$' && sysctl -n net.ipv6.conf.all.forwarding 2>/dev/null | grep -q '^0$' && echo ""PASS"" || echo ""FAIL"")"
92,Rede,Light,Alta,Redirects desabilitados,Desabilitar redirects de pacotes via sysctl persistente.,Verificar configuração de redirects,"(sysctl -n net.ipv4.conf.all.send_redirects 2>/dev/null | grep -q '^0$' && echo ""PASS"" || echo ""FAIL"")"
93,Rede,Light,Média,Source-route bloqueado,Desabilitar source routed packets via sysctl persistente.,Verificar parâmetros de source route,"(sysctl -n net.ipv4.conf.all.accept_source_route 2>/dev/null | grep -q '^0$' && echo ""PASS"" || echo ""FAIL"")"
94,Rede,Light,Média,ICMP redirects off,Desabilitar ICMP redirects via sysctl persistente.,Verificar ICMP redirects,"(sysctl -n net.ipv4.conf.all.accept_redirects 2>/dev/null | grep -q '^0$' && sysctl -n net.ipv4.conf.all.secure_redirects 2>/dev/null | grep -q '^0$' && echo ""PASS"" || echo ""FAIL"")"
95,Rede,Light,Alta,RP filter on,Habilitar reverse path filtering via sysctl persistente.,Verificar rp_filter,"(sysctl -n net.ipv4.conf.all.rp_filter 2>/dev/null | grep -Eq '^[12]$' && echo ""PASS"" || echo ""FAIL"")"
96,Rede,Light,Alta,Ignore broadcast ICMP,Habilitar ignore broadcast ICMP via sysctl persistente.,Verificar ignore_broadcasts,"(sysctl -n net.ipv4.icmp_echo_ignore_broadcasts 2>/dev/null | grep -q '^1$' && echo ""PASS"" || echo ""FAIL"")"
97,Rede,Light,Média,Ignore bogus ICMP,Habilitar ignore bogus ICMP responses via sysctl persistente.,Verificar ignore_bogus_error_responses,"(sysctl -n net.ipv4.icmp_ignore_bogus_error_responses 2>/dev/null | grep -q '^1$' && echo ""PASS"" || echo ""FAIL"")"
98,Rede,Light,Alta,Syncookies ativos,Habilitar tcp_syncookies via sysctl persistente.,Verificar tcp_syncookies,"(sysctl -n net.ipv4.tcp_syncookies 2>/dev/null | grep -q '^1$' && echo ""PASS"" || echo ""FAIL"")"
99,Rede,Full,Alta,IPv6 desabilitado ou endurecido,Desabilitar ou endurecer IPv6 conforme politica,Verifica sysctl net ipv6 conf all disable ipv6 igual a um,"(sysctl -n net.ipv6.conf.all.disable_ipv6 2>/dev/null | grep -q '^1$' && echo ""PASS"" || echo ""FAIL"")"
102,Rede,Light,Baixa,Wireless desabilitado,Desabilitar interfaces wireless ou bluetooth quando não necessárias.,Verificar interfaces wireless ou bluetooth ativas,"(lsmod | grep -Eq 'bluetooth|iwlwifi' && echo ""FAIL"" || echo ""PASS"")"
108,Criptografia TLS,Full,Alta,TLS mínimo 1.2+,Exigir uso de TLS 1.2 ou superior para serviços e comunicações.,Verificar se políticas de criptografia bloqueiam TLS < 1.,"(grep -REiq 'MinProtocol[[:space:]]*=[[:space:]]*TLSv1\.[23]|TLS.MinProtocol[[:space:]]*=[[:space:]]*TLSv1\.[23]' /etc/ssl/openssl.cnf /etc/ssl/openssl.cnf.d /etc/ssl/openssl.cnf.d/* 2>/dev/null) && echo ""PASS"" || echo ""FAIL"""
109,SSH Hardening,Light,Baixa,Permissões SSH seguras,Ajustar permissões de sshd_config e diretório /etc/ssh.,Verificar permissões de arquivos e diretório SSH,"( stat -c %a /etc/ssh/sshd_config | grep -Eq '^(600|400)$' && [ ""$(stat -c %U:%G /etc/ssh)"" = ""root:root"" ] ) && echo ""PASS"" || echo ""FAIL""
#Em POSIX, permissões não são ordenáveis semanticamente por número"
110,SSH Hardening,Full,Média,Controle de acesso via Allow Deny,Configurar directivas Allow e Deny conforme politica,Procura diretivas AllowUsers AllowGroups DenyUsers ou DenyGroups no sshd config,"(grep -Eq '^[[:space:]]*(AllowUsers|AllowGroups|DenyUsers|DenyGroups)[[:space:]]+' /etc/ssh/sshd_config 2>/dev/null) && echo ""PASS"" || echo ""FAIL"""
111,SSH Hardening,Light,Baixa,SyslogFacility AUTHPRIV,Configurar SyslogFacility AUTHPRIV.,Verificar parâmetro SyslogFacility,"(grep -Eq '^[[:space:]]*SyslogFacility[[:space:]]+AUTHPRIV\b' /etc/ssh/sshd_config 2>/dev/null) && echo ""PASS"" || echo ""FAIL"""
112,SSH Hardening,Light,Baixa,X11Forwarding off,Desabilitar X11Forwarding quando não requerido.,Verificar parâmetro X11Forwarding,"(grep -Eq '^[[:space:]]*X11Forwarding[[:space:]]+no' /etc/ssh/sshd_config) && echo ""PASS"" || echo ""FAIL"""
113,SSH Hardening,Light,Alta,MaxAuthTries restrito,Configurar MaxAuthTries de forma restritiva.,Verificar valor de MaxAuthTries,"(grep -Eq '^[[:space:]]*MaxAuthTries[[:space:]]+[1-4]$' /etc/ssh/sshd_config) && echo ""PASS"" || echo ""FAIL"""
114,SSH Hardening,Light,Alta,IgnoreRhosts yes,Configurar IgnoreRhosts yes.,Verificar parâmetro IgnoreRhosts,"(grep -Eq '^[[:space:]]*IgnoreRhosts[[:space:]]+yes' /etc/ssh/sshd_config) && echo ""PASS"" || echo ""FAIL"""
